Gmt time,Open,High,Low,Close,Volume
31.12.2018 22:00:00.000,1.14696,1.14711,1.14696,1.14711,5.25
01.01.2019 22:00:00.000,1.14682,1.14971,1.13253,1.13456,447727.81830000004
02.01.2019 22:00:00.000,1.13456,1.14113,1.13098,1.13944,483691.0225999999
03.01.2019 22:00:00.000,1.13946,1.14192,1.13459,1.13975,419587.68740000005
04.01.2019 22:00:00.000,1.13975,1.13975,1.13975,1.13975,0
05.01.2019 22:00:00.000,1.13975,1.13975,1.13975,1.13975,0
06.01.2019 22:00:00.000,1.13997,1.14828,1.13981,1.14749,369487.3196000001
07.01.2019 22:00:00.000,1.14747,1.14849,1.14224,1.14422,369776.16020000004
08.01.2019 22:00:00.000,1.14423,1.15582,1.14380,1.15430,434585.6795
09.01.2019 22:00:00.000,1.15430,1.15701,1.14847,1.15008,431365.89999999997
10.01.2019 22:00:00.000,1.15009,1.15405,1.14582,1.14729,371523.21819999994
11.01.2019 22:00:00.000,1.14729,1.14729,1.14729,1.14729,0
12.01.2019 22:00:00.000,1.14729,1.14729,1.14729,1.14729,0
13.01.2019 22:00:00.000,1.14609,1.14821,1.14509,1.14693,343019.7493
14.01.2019 22:00:00.000,1.14694,1.14899,1.13821,1.14141,413353.1028
15.01.2019 22:00:00.000,1.14140,1.14251,1.13779,1.13926,375031.68759999995
16.01.2019 22:00:00.000,1.13925,1.14062,1.13703,1.13893,384052.42769999994
17.01.2019 22:00:00.000,1.13897,1.14104,1.13535,1.13643,392655.82170000003
18.01.2019 22:00:00.000,1.13643,1.13643,1.13643,1.13643,0
19.01.2019 22:00:00.000,1.13643,1.13643,1.13643,1.13643,0
20.01.2019 22:00:00.000,1.13630,1.13915,1.13570,1.13661,234908.30010000002
21.01.2019 22:00:00.000,1.13660,1.13741,1.13363,1.13606,359321.3458
22.01.2019 22:00:00.000,1.13605,1.13947,1.13508,1.13812,380314.52750000014
23.01.2019 22:00:00.000,1.13812,1.13917,1.12897,1.13064,431582.50279999996
24.01.2019 22:00:00.000,1.13064,1.14177,1.13011,1.14089,433550.5598
25.01.2019 22:00:00.000,1.14089,1.14089,1.14089,1.14089,0
26.01.2019 22:00:00.000,1.14089,1.14089,1.14089,1.14089,0
27.01.2019 22:00:00.000,1.14041,1.14439,1.13904,1.14292,352093.56999999995
28.01.2019 22:00:00.000,1.14302,1.14504,1.14113,1.14347,419856.1494
29.01.2019 22:00:00.000,1.14347,1.15019,1.14063,1.14797,429315.73850000004
30.01.2019 22:00:00.000,1.14796,1.15144,1.14360,1.14478,506550.05960000004
31.01.2019 22:00:00.000,1.14478,1.14887,1.14346,1.14578,400250.4178
01.02.2019 22:00:00.000,1.14578,1.14578,1.14578,1.14578,0
02.02.2019 22:00:00.000,1.14578,1.14578,1.14578,1.14578,0
03.02.2019 22:00:00.000,1.14537,1.14605,1.14246,1.14392,358728.5126
04.02.2019 22:00:00.000,1.14394,1.14415,1.14014,1.14061,343015.129
05.02.2019 22:00:00.000,1.14062,1.14098,1.13611,1.13627,354997.25909999997
06.02.2019 22:00:00.000,1.13627,1.13706,1.13248,1.13393,385030.1309000001
07.02.2019 22:00:00.000,1.13443,1.13510,1.13212,1.13231,339220.7495
08.02.2019 22:00:00.000,1.13231,1.13231,1.13231,1.13231,0
09.02.2019 22:00:00.000,1.13231,1.13231,1.13231,1.13231,0
10.02.2019 22:00:00.000,1.13217,1.13302,1.12675,1.12763,383975.4679
11.02.2019 22:00:00.000,1.12763,1.13398,1.12579,1.13259,409607.3744
12.02.2019 22:00:00.000,1.13260,1.13417,1.12606,1.12611,390760.26050000003
13.02.2019 22:00:00.000,1.12611,1.13101,1.12496,1.12956,645847.4057999998
14.02.2019 22:00:00.000,1.12956,1.13064,1.12343,1.12935,430675.92179999995
15.02.2019 22:00:00.000,1.12935,1.12935,1.12935,1.12935,0
16.02.2019 22:00:00.000,1.12935,1.12935,1.12935,1.12935,0
17.02.2019 22:00:00.000,1.12951,1.13341,1.12896,1.13128,271113.8406
18.02.2019 22:00:00.000,1.13128,1.13576,1.12757,1.13405,403732.90359999996
19.02.2019 22:00:00.000,1.13413,1.13714,1.13251,1.13383,396435.4502000001
20.02.2019 22:00:00.000,1.13376,1.13666,1.13204,1.13384,453710.78969999996
21.02.2019 22:00:00.000,1.13398,1.13558,1.13163,1.13377,393553.9739
22.02.2019 22:00:00.000,1.13377,1.13377,1.13377,1.13377,0
23.02.2019 22:00:00.000,1.13377,1.13377,1.13377,1.13377,0
24.02.2019 22:00:00.000,1.13383,1.13677,1.13294,1.13581,370943.1633000001
25.02.2019 22:00:00.000,1.13581,1.14029,1.13454,1.13896,408694.6141
26.02.2019 22:00:00.000,1.13896,1.14037,1.13626,1.13696,415658.60970000003
27.02.2019 22:00:00.000,1.13696,1.14198,1.13596,1.13712,445649.6639000001
